Table 1
Site,Latitude,Longitude,Labcode,Material,14C age ± 1σ,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age ± 1σ,,
Barnstable,41.700,70.360,W-973,Spartina peat,3660 ± 250,,4801-3391,-6.48,1.34,Redfield and Rubin (1962),2,3660,250,-70.360
Barnstable,41.730,70.300,Y-1186,Salt peat,1400 ± 80,,1518-1150,-2.06,1.12,Stuiver et al. (1963),3,1400,80,-70.300
Barnstable,41.730,70.300,Y-1189,Salt peat,2200 ± 100,,2451-1905,-3.83,1.12,Stuiver et al. (1963),3,2200,100,-70.300
Centerville,41.633,70.333,W-582,Spartina peat,1640 ± 240,,2116-1064,-1.73,0.56,Redfield and Rubin (1962),2,1640,240,-70.333
Barnstable,41.700,70.317,W-637,Spartina peat,190 ± 150,,476-0,-0.12,1.34,Redfield and Rubin (1962),2,190,150,-70.317
Barnstable,41.700,70.360,W-675,Spartina peat,770 ± 100,,915-555,-0.33,1.34,Redfield and Rubin (1962),2,770,100,-70.360
Barnstable,41.700,70.360,W-677,Spartina peat,400 ± 100,,642-0,-0.03,1.34,Redfield and Rubin (1962),2,400,100,-70.360
Barnstable,41.700,70.360,W-678,Spartina peat,1880 ± 100,,2044-1560,-4.74,1.34,Redfield and Rubin (1962),2,1880,100,-70.360
Barnstable,41.710,70.370,W-1094,Spartina peat,1040 ± 300,,1568-488,-0.91,1.34,Redfield and Rubin (1962),2,1040,300,-70.370
Barnstable,41.710,70.370,W-1095,Spartina peat,1850 ± 300,,2684-1174,-1.83,1.34,Redfield and Rubin (1962),2,1850,300,-70.370
Barnstable,41.710,70.370,W-1096,Spartina peat,2240 ± 300,,2951-1539,-2.83,1.34,Redfield and Rubin (1962),2,2240,300,-70.370
Barnstable,41.710,70.370,W-1098,Spartina peat,3060 ± 300,,4057-2469,-5.12,1.34,Redfield and Rubin (1962),2,3060,300,-70.370
Barnstable,41.730,70.320,Y-1187,Salt peat,710 ± 80,,784-540,-1.63,1.12,Stuiver et al. (1963),3,710,80,-70.320
Barnstable,41.730,70.300,Y-1188,Salt peat,240 ± 80,,480-0,-0.56,1.12,Stuiver et al. (1963),3,240,80,-70.300
Barnstable,41.730,70.320,Y-1190,Salt peat,1060 ± 100,,1231-743,-2.03,1.12,Stuiver et al. (1963),3,1060,100,-70.320
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Nantucket Sound,41.550,70.467,BETA-122519,Mercenaria,3790 ± 70,0,3838-3394,-10.43,0.71,Gutierrez et al. (2003),4,3790,70,-70.467
Nantucket Sound,41.550,70.467,BETA-122520,Mercenaria,3640 ± 90,0,3683-3203,-10.63,0.71,Gutierrez et al. (2003),4,3640,90,-70.467
Marthas Vineyard,41.300,71.000,W-2013,C. vir,9300 ± 250,,10561-9405,-37.42,3.15,Oldale and O'Hara (1980),4,9300,250,-71.000
Marthas Vineyard,41.408,70.739,W-3786,Mercenaria,7570 ± 250,,9726-8452,-27.65,0.75,Oldale and O'Hara (1980),4,7570,250,-70.739
Marthas Vineyard,41.317,70.922,W-3766,shell hash,5150 ± 200,,5841-4867,-34.38,0.78,Oldale and O'Hara (1980),3,5150,200,-70.922
Marthas Vineyard,41.368,70.867,W-3787,shell hash,4470 ± 500,,5722-3260,-26.75,0.75,Oldale and O'Hara (1980),3,4470,500,-70.867
Marthas Vineyard,41.443,70.722,I-9944,shell hash,3710 ± 80,,3758-3318,-15.11,0.71,Oldale and O'Hara (1980),3,3710,80,-70.722
Marthas Vineyard,41.443,70.722,I-9945,shell hash,3560 ± 95,,3597-3069,-14.61,0.71,Oldale and O'Hara (1980),3,3560,95,-70.722
Marthas Vineyard,41.243,70.927,W-3782,Mercenaria,1340 ± 200,,1222-484,-32.17,0.77,Oldale and O'Hara (1980),4,1340,200,-70.927
Marthas Vineyard,41.302,70.992,W-3763,C. vir,9740 ± 250,,11167-9901,-33.77,0.77,Oldale and O'Hara (1980),4,9740,250,-70.992
Marthas Vineyard,41.317,70.992,W-3769,C. vir,9710 ± 300,,11201-9681,-35.78,0.78,Oldale and O'Hara (1980),4,9710,300,-70.992
Marthas Vineyard,41.303,70.992,W-3764,C. vir,9470 ± 500,,11623-8895,-33.07,0.77,Oldale and O'Hara (1980),4,9470,500,-70.992
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Centerville,41.633,70.333,W-586,Fresh peat,5500 ± 300,,6955-5607,-3.74,0.53,Emery et al. (1967),3,5500,300,-70.333
Falmouth,41.550,70.633,Y-1663,Fresh peat,3420 ± 120,,3975-3401,-4.74,0.53,Emery et al. (1967),3,3420,120,-70.633
Barnstable (Brewster),41.817,70.085,W-2494,Fresh peat,4700 ± 300,,6174-4572,-8.52,3.14,Field et al. (1979),3,4700,300,-70.085
Nantucket Sound,41.583,70.383,OS-18551,plant fragments,4600 ± 50,-27.4,5468-5054,-8.12,0.70,Gutierrez et al. (2003),3,4600,50,-70.383
Nantucket Sound,41.583,70.400,OS-18549,Undiff peat,4280 ± 35,-26.8,4961-4727,-8.02,0.70,Gutierrez et al. (2003),3,4280,35,-70.400
Nauset Bay,41.840,69.970,I-1967,Undiff peat,2300 ± 105,,2705-2059,-2.39,0.57,Redfield (1967),3,2300,105,-69.970
Nauset Bay,41.840,69.970,I-1968,Undiff peat,3460 ± 100,,3975-3475,-4.46,0.57,Redfield (1967),3,3460,100,-69.970
Barnstable,41.730,70.380,W-1093,Oak wood,4860 ± 350,,6395-4629,-4.85,0.54,Redfield and Rubin (1962),2,4860,350,-70.380
Barnstable,41.700,70.317,W-639,Fresh peat,500 ± 150,,736-0,1.46,0.53,Redfield and Rubin (1962),3,500,150,-70.317
Barnstable,41.730,70.380,W-1099,Fresh peat,3170 ± 300,,4230-2622,-3.11,0.22,Redfield and Rubin (1962),3,3150,300,-70.380
Centerville,41.633,70.333,W-570,chaemocypris log,2130 ± 200,,2707-1633,-2.00,0.26,Redfield and Rubin (1962),2,2130,200,-70.333
Centerville,41.633,70.333,W-584,Fresh peat,2040 ± 240,,2703-1421,-1.10,0.53,Redfield and Rubin (1962),3,2040,240,-70.333
Marthas Vineyard,41.450,70.937,W-3386,Fresh peat,8230 ± 300,,9895-8417,-20.07,0.73,Oldale and O'Hara (1980),3,8230,300,-70.937
Marthas Vineyard,41.482,70.860,W-3394,Fresh peat,7600 ± 250,,9028-7880,-16.28,0.72,Oldale and O'Hara (1980),3,7600,250,-70.860
,,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Guildford,41.278,72.650,Not Stated,Sp,1070 ± 80,-10,1175-795,-1.61,0.63,Nydick et al. (1995),2,1070,80,-72.650
Hammock River,41.266,72.515,GrN-14518,Sp/Ds,1710 ± 60,,1812-1422,-1.86,0.51,van de Plassche (1991),2,1710,60,-72.515
Barn Island,41.332,71.864,OS-26454,Sp/Jg,265 ± 30,,434-0,-0.52,0.31,Donnelly et al. (2004a),2,265,30,-71.864
Barn Island,41.332,71.864,OS-29654,Sp/Jg,15 ± 40,,256-0,-0.57,0.31,Donnelly et al. (2004a),2,15,40,-71.864
Barn Island,41.332,71.864,OS-27765,Sp/Jg,240 ± 35,,428-0,-0.63,0.31,Donnelly et al. (2004a),2,240,35,-71.864
Barn Island,41.332,71.864,OS-26452,Sp/Jg,305 ± 40,,476-292,-0.73,0.31,Donnelly et al. (2004a),2,305,40,-71.864
Barn Island,41.332,71.864,OS-29653,Sp,330 ± 35,,479-307,-0.82,0.31,Donnelly et al. (2004a),2,330,35,-71.864
Barn Island,41.332,71.864,OS-27764,Sp,540 ± 40,,643-509,-0.91,0.31,Donnelly et al. (2004a),2,540,40,-71.864
Barn Island,41.332,71.864,OS-33644,Sp,475 ± 40,,622-466,-0.94,0.31,Donnelly et al. (2004a),2,475,40,-71.864
Barn Island,41.332,71.864,OS-29652,Sp,570 ± 35,,650-524,-1.03,0.31,Donnelly et al. (2004a),2,570,35,-71.864
Branford,41.261,72.849,UtC-9139,Ds,3092 ± 31,-18.1,3381-3221,-3.92,0.45,van de Plassche et al. (2002),2,3092,31,-72.849
Branford,41.250,72.860,UtC-9140,Ds,2814 ± 34,-14.2,3018-2796,-3.08,0.45,van de Plassche et al. (2002),2,2814,34,-72.860
Branford,41.256,72.839,UtC-9262,Ds,2124 ± 37,-15.8,2301-1995,-2.25,0.45,van de Plassche et al. (2002),2,2124,37,-72.839
Branford,41.251,72.856,UtC-10439,Ds,1560 ± 40,-15.1,1536-1360,-1.57,0.45,van de Plassche et al. (2002),2,1560,40,-72.856
Branford,41.251,72.856,UtC-10440,Ds,1133 ± 37,-15.5,1171-961,-1.20,0.45,van de Plassche et al. (2002),2,1133,37,-72.856
Guildford,41.269,72.681,Not Stated,Sa,1170 ± 50,-14.5,1240-964,-1.44,0.66,Nydick et al. (1995),2,1170,50,-72.681
Guildford,41.269,72.681,Not Stated,Sp,370 ± 60,-10,511-307,-1.11,0.63,Nydick et al. (1995),2,370,60,-72.681
Guildford,41.278,72.650,Not Stated,Sp,90 ± 70,-10,282-0,-0.77,0.63,Nydick et al. (1995),2,90,70,-72.650
Guildford,41.278,72.650,Not Stated,Sp,160 ± 60,-10,296-0,-0.80,0.63,Nydick et al. (1995),2,160,60,-72.650
Guildford,41.277,72.641,Not Stated,Sp,1020 ± 80,-9.7,1166-738,-1.40,0.63,Nydick et al. (1995),2,1020,80,-72.641
Guildford,41.277,72.641,Not Stated,Sp,1780 ± 70,-10,1867-1547,-2.03,0.63,Nydick et al. (1995),2,1780,70,-72.641
Guildford,41.269,72.681,Not Stated,Sa,100 ± 70,-12,282-0,-0.35,0.52,Nydick et al. (1995),2,100,70,-72.681
Guildford,41.269,72.681,Not Stated,Sa,590 ± 60,-13.8,664-522,-0.73,0.52,Nydick et al. (1995),2,590,60,-72.681
Guildford,41.278,72.650,Not Stated,Sa,10 ± 60,-13.8,268-0,-0.22,0.52,Nydick et al. (1995),2,10,60,-72.650
Guildford,41.278,72.650,Not Stated,Sa,440 ± 60,-10,615-315,-0.43,0.52,Nydick et al. (1995),2,440,60,-72.650
Guildford,41.278,72.650,Not Stated,Sa,600 ± 80,-13.8,680-508,-0.62,0.52,Nydick et al. (1995),2,600,80,-72.650
Guildford,41.277,72.641,Not Stated,Sa,210 ± 60,-13.2,428-0,-0.35,0.52,Nydick et al. (1995),2,210,60,-72.641
Guildford,41.277,72.641,Not Stated,Sa,660 ± 70,-10.8,722-532,-0.63,0.52,Nydick et al. (1995),2,660,70,-72.641
Guildford,41.277,72.641,Not Stated,Sa,1720 ± 70,-13.8,1821-1419,-1.48,0.52,Nydick et al. (1995),2,1720,70,-72.641
Hammock River,41.265,72.508,2178-13,Ds,340 ± 50,-14,498-306,-1.04,0.45,van de Plassche et al. (1998),2,340,50,-72.508
Hammock River,41.265,72.508,2181-13,Ds,1100 ± 30,-14,1063-937,-1.48,0.45,van de Plassche et al. (1998),2,1100,30,-72.508
Hammock River,41.265,72.508,2002-F,Ds,500 ± 30,-13,616-502,-1.23,0.45,van de Plassche et al. (1998),2,500,30,-72.508
Hammock River,41.265,72.508,2164-1,Ds,1120 ± 30,-15,1166-956,-1.39,0.45,van de Plassche et al. (1998),2,1120,30,-72.508
Hammock River,41.265,72.508,2173-6.5,Ds,380 ± 30,-26,505-319,-1.03,0.45,van de Plassche et al. (1998),2,380,30,-72.508
Hammock River,41.265,72.508,2789-6.5,Ds,170 ± 40,-13,296-0,-0.51,0.45,van de Plassche et al. (1998),2,170,40,-72.508
Hammock River,41.265,72.508,2179-13,Sa,390 ± 30,-14,510-320,-0.53,0.26,van de Plassche et al. (1998),2,390,30,-72.508
Hammock River,41.265,72.508,2180-13,Sa,520 ± 50,-13,647-497,-0.67,0.26,van de Plassche et al. (1998),2,520,50,-72.508
Hammock River,41.265,72.508,1999-F,Sa,1460 ± 40,-13,1410-1296,-1.26,0.26,van de Plassche et al. (1998),2,1460,40,-72.508
Hammock River,41.265,72.508,2000-F,Sa,1370 ± 50,-22,1371-1179,-1.09,0.26,van de Plassche et al. (1998),2,1370,50,-72.508
Hammock River,41.265,72.508,2003-F,Sa,440 ± 30,-14,534-342,-0.56,0.26,van de Plassche et al. (1998),2,440,30,-72.508
Hammock River,41.265,72.508,2005-F,Sa,340 ± 40,-4,488-308,-0.27,0.26,van de Plassche et al. (1998),2,340,40,-72.508
Hammock River,41.265,72.508,2004-F,Sa,530 ± 50,-14,648-502,-0.41,0.26,van de Plassche et al. (1998),2,530,50,-72.508
Hammock River,41.265,72.508,2166-6.5,Sa,130 ± 40,-15,280-0,0.17,0.26,van de Plassche et al. (1998),2,130,40,-72.508
Hammock River,41.265,72.508,2167-6.5,Sa,180 ± 40,-14,304-0,-0.07,0.26,van de Plassche et al. (1998),2,180,40,-72.508
Hammock River,41.266,72.515,GrN-14519,Sp,1800 ± 35,,1823-1617,-2.15,0.53,van de Plassche (1991),2,1800,35,-72.515
Hammock River,41.266,72.515,GrN-14520,Sa,1890 ± 30,,1895-1733,-1.57,0.76,van de Plassche (1991),2,1890,30,-72.515
Gulf Pond,41.200,73.000,QC-1016,Salt peat,1515 ± 185,,1863-1019,-1.87,0.97,Cinquemani et al. (1982),3,1515,185,-73.000
Indian River,41.200,73.000,QC-1010,Salt peat,3645 ± 95,,4236-3702,-5.27,0.97,Cinquemani et al. (1982),3,3645,95,-73.000
Indian River,41.200,73.000,QC-1012,Salt peat,3500 ± 120,,4089-3473,-4.17,0.97,Cinquemani et al. (1982),3,3500,120,-73.000
Indian River,41.200,73.000,QC-1017,Salt peat,2970 ± 100,,3372-2876,-3.20,0.97,Cinquemani et al. (1982),3,2970,100,-73.000
Guildford,41.277,72.641,Not Stated,Plant frags,1220 ± 80,-14.3,1288-978,-1.79,0.78,Nydick et al. (1995),1,1220,80,-72.641
Oyster Creek,41.260,72.350,QC-1013,Salt peat,4780 ± 175,,5909-4983,-6.87,0.84,Cinquemani et al. (1982),3,4780,175,-72.350
Oyster Creek,41.260,72.350,QC101413BC,Salt peat,3850 ± 235,,4856-3638,-6.37,0.84,Cinquemani et al. (1982),3,3850,235,-72.350
Oyster Creek,41.260,72.350,QC-1014A,Salt peat,4460 ± 155,,5580-4648,-6.57,0.84,Cinquemani et al. (1982),3,4460,155,-72.350
,,,,,,,,,,,,,,
Terrestrial,,,,,,,,,,,,,,
Mystic,41.370,71.950,W-1082,Undiff peat,2850 ± 260,,3608-2348,-3.60,0.40,Redfield and Rubin (1962),3,2850,260,-71.950
Kittam's Point,41.250,72.810,Y-840,Wood,910 ± 120,,1066-574,0.36,0.48,Bloom (1963),2,910,120,-72.810
New Haven,41.300,72.750,W-945,Undiff peat,5900 ± 200,,7242-6304,-9.08,0.51,Redfield and Rubin (1962),3,5900,200,-72.750
Stiles Brickyard,41.340,72.880,Y-843,Wood,6810 ± 170,,7982-7338,-4.37,0.56,Bloom (1963),2,6810,170,-72.880
Guildford,41.269,72.681,Not Stated,Wood,720 ± 90,,899-533,-0.08,0.48,Nydick et al. (1995),2,720,90,-72.681
Guildford,41.270,72.660,Y-855,Wood,1180 ± 80,,1276-956,0.03,0.48,Bloom (1963),2,1180,80,-72.660
Hammock River,41.265,72.508,GrN-14515,Sedge peat,3950 ± 60,,4569-4161,-3.80,0.22,van de Plassche et al. (1989),3,3950,60,-72.508
Hammock River,41.265,72.508,GrN-14514,Sedge peat,4295 ± 45,,5031-4713,-4.93,0.22,van de Plassche et al. (1989),3,4295,45,-72.508
Hammock River,41.265,72.508,GrN-14513,Sedge peat,4700 ± 40,,5581-5319,-5.97,0.22,van de Plassche et al. (1989),3,4700,40,-72.508
Hammock River,41.265,72.508,GrN-14512,Sedge peat,5300 ± 60,,6267-5933,-7.28,0.23,van de Plassche et al. (1989),3,5300,60,-72.508
Hammock River,41.265,72.508,GrN-14511,Sedge peat,5880 ± 70,,6881-6503,-7.35,0.23,van de Plassche et al. (1989),3,5880,70,-72.508
Hammock River,41.265,72.508,GrN-14510,Sedge peat,5520 ± 60,,6436-6206,-8.48,0.23,van de Plassche et al. (1989),3,5520,60,-72.508
Hammock River,41.265,72.508,Y-1056,sedge peat,4780 ± 130,,5888-5062,-7.11,0.48,Bloom (1963),3,4780,130,-72.508
Hammock River,41.265,72.508,Y-1057,sedge peat,3540 ± 130,,4220-3478,-4.50,0.49,Bloom (1963),3,3540,130,-72.508
Hammock River,41.265,72.508,Y-1058,sedge peat,3450 ± 160,,4149-3363,-3.60,0.49,Bloom (1963),3,3450,160,-72.508
Hammock River,41.265,72.508,Y-1074,sedge peat,6130 ± 90,,7248-6794,-9.69,0.50,Bloom (1963),3,6130,90,-72.508
Hammock River,41.265,72.508,Y-1175,sedge peat,3020 ± 90,,3437-2955,-1.56,0.51,Bloom (1963),3,3020,90,-72.508
Hammock River,41.265,72.508,Y-1176,sedge peat,3220 ± 90,,3685-3245,-2.27,0.50,Bloom (1963),3,3220,90,-72.508
Hammock River,41.265,72.508,Y-1177,Wood,4880 ± 120,,5899-5325,-4.77,0.50,Bloom (1963),2,4880,120,-72.508
Hammock River,41.160,72.310,Y-1055,Undiff peat,7060 ± 100,,8151-7673,-8.94,0.50,Bloom (1963),3,7060,100,-72.310
Hammock River,41.265,72.508,2177-13,Sr,210 ± 30,-26,306-0,0.43,0.17,van de Plassche et al. (1998),2,210,30,-72.508
Hammock River,41.265,72.508,2792-13,Sr,370 ± 40,-25,505-315,0.01,0.17,van de Plassche et al. (1998),2,370,40,-72.508
Hammock River,41.265,72.508,2786-13,Sr,1020 ± 40,-22,1052-798,-0.26,0.17,van de Plassche et al. (1998),2,1020,40,-72.508
Hammock River,41.265,72.508,2182-13,Sr,1250 ± 40,-25,1276-1076,-0.57,0.17,van de Plassche et al. (1998),2,1250,40,-72.508
Hammock River,41.265,72.508,2001-F,Sr,1410 ± 40,-9,1381-1279,-0.42,0.16,van de Plassche et al. (1998),2,1410,40,-72.508
Hammock River,41.265,72.508,2163-1,Sr,1170 ± 50,-28,1240-964,-0.26,0.17,van de Plassche et al. (1998),2,1170,50,-72.508
Hammock River,41.265,72.508,2165-1,Sr,1100 ± 30,-27,1063-937,-0.48,0.17,van de Plassche et al. (1998),2,1100,30,-72.508
Hammock River,41.265,72.508,2168-6.5,Sr,230 ± 40,-27,428-0,0.36,0.17,van de Plassche et al. (1998),2,230,40,-72.508
Hammock River,41.265,72.508,2169-6.5,Sr,240 ± 50,-26,462-0,0.30,0.17,van de Plassche et al. (1998),2,240,50,-72.508
Hammock River,41.265,72.508,2170-6.5,Sr,220 ± 40,-27,426-0,0.22,0.17,van de Plassche et al. (1998),2,220,40,-72.508
Hammock River,41.265,72.508,2171-6.5,Sr,430 ± 50,-27,540-318,0.14,0.17,van de Plassche et al. (1998),2,430,50,-72.508
Hammock River,41.265,72.508,2172-6.5,Sr,420 ± 50,-13,535-317,0.09,0.17,van de Plassche et al. (1998),2,420,50,-72.508
Hammock River,41.265,72.508,2174-6.5,Sr,440 ± 40,-26,541-331,-0.00,0.17,van de Plassche et al. (1998),2,440,40,-72.508
Hammock River,41.265,72.508,2175-6.5,Sr,520 ± 30,-27,627-507,-0.08,0.17,van de Plassche et al. (1998),2,520,30,-72.508
Hammock River,41.265,72.508,2176-6.5,Sr,520 ± 30,-26,627-507,-0.14,0.17,van de Plassche et al. (1998),2,520,30,-72.508
Hammock River,41.265,72.508,2790-6.5,Sr,350 ± 50,-26,500-308,0.20,0.17,van de Plassche et al. (1998),2,350,50,-72.508
Hammock River,41.265,72.508,2794-6.5,Sr,480 ± 50,-26,634-334,-0.14,0.17,van de Plassche et al. (1998),2,480,50,-72.508
Menunketesuck River,41.280,72.480,GrN-15007,Sedge peat,5280 ± 40,,6184-5940,-8.22,0.24,van de Plassche et al. (1989),3,5280,40,-72.480
Hammock River,41.266,72.515,GrN-15556,Sr,85 ± 45,,270-0,0.58,0.32,van de Plassche (1991),2,85,45,-72.515
Hammock River,41.266,72.515,GrN-15557,Pa,740 ± 40,,735-569,0.15,0.32,van de Plassche (1991),2,740,40,-72.515
Hammock River,41.266,72.515,GrN-15595,Pa,1580 ± 110,,1715-1291,-0.40,0.30,van de Plassche (1991),2,1580,110,-72.515
Hammock River,41.266,72.515,GrN-15596,Pa,890 ± 60,,924-698,0.20,0.30,van de Plassche (1991),2,890,60,-72.515
,,,,,,,,,,,,,,
New York,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Cedar Pond Brook Marsh,41.225,73.967,QC-770,Salt peat,800 ± 100,,928-560,-0.76,0.81,Pardi et al. (1984),3,800,100,-73.967
Cedar Pond Brook Marsh,41.225,73.967,QC-711,Salt peat,3630 ± 110,,4282-3640,-5.21,0.82,Pardi et al. (1984),3,3630,110,-73.967
Cedar Pond Brook Marsh,41.225,73.967,QC-772,Salt peat,1740 ± 100,,1873-1415,-1.76,0.81,Pardi et al. (1984),3,1740,100,-73.967
Cedar Pond Brook Marsh,41.225,73.967,QC-712,Salt peat,1940 ± 110,,2285-1607,-2.56,0.81,Pardi et al. (1984),3,1940,110,-73.967
Cedar Pond Brook Marsh,41.225,73.967,QC-773,Salt peat,2650 ± 100,,2995-2367,-2.56,0.81,Pardi et al. (1984),3,2650,100,-73.967
Cedar Pond Brook Marsh,41.225,73.967,QC-810,Salt peat,3030 ± 100,,3447-2951,-3.31,0.82,Pardi et al. (1984),3,3030,100,-73.967
Cedar Pond Brook Marsh,41.225,73.967,QC-709,Salt peat,2220 ± 120,,2688-1898,-3.34,0.82,Pardi et al. (1984),3,2220,120,-73.967
Cedar Pond Brook Marsh,41.225,73.967,QC-774,Salt peat,3090 ± 110,,3557-2979,-3.46,0.81,Pardi et al. (1984),3,3090,110,-73.967
Cedar Pond Brook Marsh,41.225,73.967,QC-811,Salt peat,2700 ± 120,,3160-2462,-3.61,0.82,Pardi et al. (1984),3,2700,120,-73.967
Constitution Island,41.411,73.948,QC-227,Salt peat,4230 ± 120,,5265-4423,-7.51,0.81,Pardi et al. (1984),3,423+,120,-73.948
Constitution Island,41.406,73.942,QC-692,Salt peat,4660 ± 140,,5654-4892,-9.46,0.83,Pardi et al. (1984),3,4660,140,-73.942
Constitution Island,41.406,73.948,QC-1039,Salt peat,2160 ± 130,,2469-1823,-1.80,0.82,Pardi et al. (1984),3,2160,130,-73.948
Constitution Island,41.406,73.942,QC-695,Salt peat,2440 ± 100,,2753-2315,-3.06,0.83,Pardi et al. (1984),3,2440,100,-73.942
Constitution Island,41.411,73.948,QC-226,Salt peat,2320 ± 100,,2713-2117,-3.71,0.80,Pardi et al. (1984),3,2320,100,-73.948
Constitution Island,41.406,73.942,QC-693,Salt peat,3210 ± 110,,3700-3084,-4.86,0.84,Pardi et al. (1984),3,3210,110,-73.942
Constitution Island,41.411,73.948,QC-276,Salt peat,4110 ± 100,,4861-4317,-5.96,0.80,Pardi et al. (1984),3,4110,100,-73.948
Constitution Island,41.406,73.942,QC-694,Salt peat,3760 ± 120,,4512-3782,-6.26,0.84,Pardi et al. (1984),3,3760,120,-73.942
Marlboro Marsh,41.611,73.966,QC-341,Salt peat,2330 ± 240,,2942-1742,-3.11,0.80,Pardi et al. (1984),3,2330,240,-73.966
Marlboro Marsh,41.611,73.966,QC-340,Salt peat,3010 ± 120,,3448-2872,-4.11,0.80,Pardi et al. (1984),3,3010,120,-73.966
Marlboro Marsh,41.611,73.966,QC-343,Salt peat,4390 ± 220,,5583-4437,-5.81,0.80,Pardi et al. (1984),3,4390,220,-73.966
Marlboro Marsh,41.611,73.966,QC-705,Salt peat,4260 ± 130,,5283-4441,-7.21,0.81,Pardi et al. (1984),3,4260,130,-73.966
Marlboro Marsh,41.611,73.966,QC-686,Salt peat,4570 ± 110,,5580-4482,-8.31,0.83,Pardi et al. (1984),3,4570,110,-73.966
Oscawana I Tidal Marsh,41.229,73.931,QC-228,Salt peat,1870 ± 90,,1997-1569,-2.51,0.80,Pardi et al. (1984),3,1870,90,-73.931
Oscawana I Tidal Marsh,41.229,73.931,QC-221B,Salt peat,4570 ± 120,,5580-4878,-6.61,0.80,Pardi et al. (1984),3,4570,120,-73.931
Oscawana I Tidal Marsh,41.229,73.931,QC-264,Salt peat,4500 ± 100,,5448-4860,-6.81,0.80,Pardi et al. (1984),3,4500,100,-73.931
Roa Hook,41.299,73.947,QC-1043,Salt peat,4450 ± 200,,5586-4540,-7.64,0.83,Pardi et al. (1984),3,4450,200,-73.947
Roa Hook,41.299,73.947,QC-512,Salt peat,4120 ± 350,,5580-3718,-8.81,0.81,Pardi et al. (1984),3,4120,350,-73.947
Roa Hook,41.299,73.947,QC-509,Salt peat,4550 ± 130,,5580-4866,-9.31,0.80,Pardi et al. (1984),3,4550,130,-73.947
Roa Hook,41.299,73.947,QC-569,Salt peat,2490 ± 120,,2844-2314,-1.95,0.80,Pardi et al. (1984),3,2490,120,-73.947
Roa Hook,41.299,73.947,QC-568,Salt peat,3170 ± 170,,3799-2949,-4.02,0.80,Pardi et al. (1984),3,3170,170,-73.947
Roa Hook,41.292,73.947,QC-1041,Salt peat,3190 ± 160,,3828-2978,-4.31,0.81,Pardi et al. (1984),3,3190,160,-73.947
Roa Hook,41.299,73.947,QC-510,Salt peat,3140 ± 170,,3816-2878,-4.81,0.80,Pardi et al. (1984),3,3140,170,-73.947
Roa Hook,41.299,73.947,QC-721,Salt peat,3320 ± 110,,3840-3342,-5.56,0.81,Pardi et al. (1984),3,3320,110,-73.947
Roa Hook,41.299,73.947,QC-723,Salt peat,3910 ± 130,,4812-3978,-6.76,0.81,Pardi et al. (1984),3,3910,130,-73.947
Stoney Point,41.244,73.968,QC-505,Salt peat,3100 ± 110,,3564-2996,-3.21,0.80,Pardi et al. (1984),3,3100,110,-73.968
Stoney Point,41.244,73.968,QC-506,Salt peat,3740 ± 200,,4798-3576,-5.81,0.80,Pardi et al. (1984),3,3740,200,-73.968
Piermont Tidal Marsh,41.025,73.900,QC-737,Salt peat,3730 ± 200,,4797-3565,-5.66,0.81,Pardi et al. (1984),3,3730,200,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-739,Salt peat,3790 ± 90,,4421-3925,-7.71,0.82,Pardi et al. (1984),3,3790,90,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-261,Salt peat,4610 ± 110,,5586-4974,-8.35,0.81,Pardi et al. (1984),3,4610,110,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-740,Salt peat,4300 ± 280,,5589-4101,-9.37,0.83,Pardi et al. (1984),3,4300,280,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-741,Salt peat,4720 ± 120,,5710-5048,-9.71,0.83,Pardi et al. (1984),3,4720,120,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-742,Salt peat,5320 ± 170,,6441-5667,-11.16,0.82,Pardi et al. (1984),3,5320,170,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-808,Salt peat,5480 ± 140,,6555-5933,-11.16,0.84,Pardi et al. (1984),3,5480,140,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-734,Salt peat,1420 ± 120,,1563-1063,-1.46,0.81,Pardi et al. (1984),3,1420,120,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-735,Salt peat,2000 ± 110,,2306-1706,-3.06,0.81,Pardi et al. (1984),3,2000,110,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-211,Salt peat,2300 ± 160,,2742-1950,-2.81,0.80,Pardi et al. (1984),3,2300,160,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-736,Salt peat,2550 ± 140,,2958-2320,-4.56,0.81,Pardi et al. (1984),3,2550,140,-73.900
Piermont Tidal Marsh,41.025,73.900,QC-732,Salt peat,2990 ± 100,,3388-2882,-4.56,0.81,Pardi et al. (1984),3,2990,100,-73.900
